date,station,airT,latitude,longitude
2018-07-01T03:00:00Z,jagen91,10.0682,52.473239,13.225079
2018-07-01T03:00:00Z,kaniswall,6.7,52.404,13.7309
2018-07-01T03:00:00Z,koepenick,6.7254,52.433018,13.615687
2018-07-01T03:00:00Z,lindenberg,10.1,52.2085,14.118
2018-07-01T03:00:00Z,marzahn,10.2,52.5447,13.5598
2018-07-01T03:00:00Z,muencheberg,8.2,52.5176,14.1232
2018-07-01T03:00:00Z,neuruppin,11.1,52.9037,12.8072
2018-07-01T03:00:00Z,potsdam,9.2,52.3813,13.0622
2018-07-01T03:00:00Z,rothenburg,11.7194,52.457232,13.315827
2018-07-01T03:00:00Z,spandauer,8.213,52.536388,13.158442
2018-07-01T03:00:00Z,tiergarten,10.6242,52.514492,13.363593
2018-07-01T03:00:00Z,zehdenick,6.3,52.9664,13.3268
2018-07-01T04:00:00Z,airportthf,13.7,52.4675,13.4021
2018-07-01T04:00:00Z,airporttxl,12.7,52.5644,13.3088
2018-07-01T04:00:00Z,albrecht,11.4291,52.444594,13.348607
2018-07-01T04:00:00Z,bamberger,13.1552,52.496494,13.337552
2018-07-01T04:00:00Z,baruth,9.7,52.0613,13.4997
2018-07-01T04:00:00Z,berge,10.9,52.6198,12.7867
2018-07-01T04:00:00Z,brandenburg,12.9,52.3807,13.5306
2018-07-01T04:00:00Z,buch,12,52.6309,13.5022
2018-07-01T04:00:00Z,dahlem,12.1,52.4537,13.3017
2018-07-01T04:00:00Z,dahlemerfeld,12.4172,52.477623,13.225339
2018-07-01T04:00:00Z,dessauer,13.137,52.50467,13.3783
2018-07-01T04:00:00Z,jagen91,9.77262,52.473239,13.225079
2018-07-01T04:00:00Z,kaniswall,11.4,52.404,13.7309
2018-07-01T04:00:00Z,koepenick,8.05007,52.433018,13.615687
2018-07-01T04:00:00Z,lindenberg,12.3,52.2085,14.118
2018-07-01T04:00:00Z,marzahn,12.5,52.5447,13.5598
2018-07-01T04:00:00Z,muencheberg,12.1,52.5176,14.1232
2018-07-01T04:00:00Z,neuruppin,11.6,52.9037,12.8072
2018-07-01T04:00:00Z,potsdam,11.8,52.3813,13.0622
2018-07-01T04:00:00Z,rothenburg,12.0589,52.457232,13.315827
2018-07-01T04:00:00Z,spandauer,9.78328,52.536388,13.158442
2018-07-01T04:00:00Z,tiergarten,11.4243,52.514492,13.363593
2018-07-01T04:00:00Z,zehdenick,11.3,52.9664,13.3268
