date,longitude,latitude,airT
2018-07-01T01:00:00Z,13.324951,52.45139,15.3
2018-07-01T01:00:00Z,13.261959,52.457877,16.8
2018-07-01T01:00:00Z,13.27731,52.47194,12.4
2018-07-01T01:00:00Z,13.29232,52.47647,NA
2018-07-01T01:00:00Z,13.295719796295,52.44966807352,NA
2018-07-01T01:00:00Z,13.279653,52.475934,16.3
2018-07-01T01:00:00Z,13.295708,52.458763,14.4
2018-07-01T01:00:00Z,13.3006494,52.4410794,14
2018-07-01T01:00:00Z,13.29999,52.46935,13.5
2018-07-01T01:00:00Z,13.292041,52.440732,12.4
2018-07-01T01:00:00Z,13.274,52.43835,14
2018-07-01T01:00:00Z,13.28975,52.43511,15.8
2018-07-01T01:00:00Z,13.266948,52.431459,15.7
2018-07-01T01:00:00Z,13.370906316454,52.501829869062,16.6
2018-07-01T01:00:00Z,13.377742833442,52.484173256444,15.7
2018-07-01T01:00:00Z,13.35373,52.52092,16.7
2018-07-01T01:00:00Z,13.385344,52.491214,13.3
2018-07-01T01:00:00Z,13.350873,52.522487,15.1
2018-07-01T01:00:00Z,13.31533463501,52.514840488532,15
2018-07-01T01:00:00Z,13.31464,52.49798,14.9
2018-07-01T01:00:00Z,13.303412016919,52.501903103823,15.3
2018-07-01T01:00:00Z,13.333886838645,52.483077622697,14
2018-07-01T01:00:00Z,13.35145,52.522248,12.8
2018-07-01T01:00:00Z,13.341952,52.529462,15.7
2018-07-01T01:00:00Z,13.3217035,52.4957573,14.1
2018-07-01T01:00:00Z,13.33450410418,52.496292671515,14.2
2018-07-01T01:00:00Z,13.31518,52.49846,12.2
2018-07-01T01:00:00Z,13.31546704453,52.502710299929,NA
2018-07-01T01:00:00Z,13.313818266628,52.49680914921,15.7
2018-07-01T01:00:00Z,13.31582,52.49969,16
2018-07-01T01:00:00Z,13.3419433,52.491462,14.3
2018-07-01T01:00:00Z,13.35375,52.48663,NA
2018-07-01T01:00:00Z,13.34706,52.49145,12.6
2018-07-01T01:00:00Z,13.357261218066,52.486745557403,14.3
2018-07-01T01:00:00Z,13.318770406421,52.507414128109,16.4
2018-07-01T01:00:00Z,13.33953,52.4917,16.2
2018-07-01T01:00:00Z,13.326943,52.4958726,NA
2018-07-01T01:00:00Z,13.3498614,52.5014114,NA
2018-07-01T01:00:00Z,13.320606231689,52.508029615849,NA
2018-07-01T01:00:00Z,13.35198,52.49302,NA
2018-07-01T01:00:00Z,13.358774,52.50533,14.2
2018-07-01T01:00:00Z,13.376795,52.489852,13.2
2018-07-01T01:00:00Z,13.384351174819,52.491767272827,NA
2018-07-01T01:00:00Z,13.38312,52.53097,15
2018-07-01T01:00:00Z,13.3796229,52.486168,15.4
2018-07-01T01:00:00Z,13.36452,52.48758,15.9
2018-07-01T01:00:00Z,13.261856,52.515713,12.2
2018-07-01T01:00:00Z,13.264182,52.509031,14.4
2018-07-01T01:00:00Z,13.299304453905,52.501120082722,NA
2018-07-01T01:00:00Z,13.301455859525,52.511948690721,13.8
2018-07-01T01:00:00Z,13.2718394,52.5116081,NA
2018-07-01T01:00:00Z,13.29578,52.50007,16
2018-07-01T01:00:00Z,13.295117,52.487169,14.6
